stored_permits,interval_micros
299,30000
298,29800
297,29600
296,29600
295,29400
294,29200
293,29200
292,29000
291,28800
290,28800
289,28600
288,28400
287,28400
286,28200
285,28000
284,28000
283,27800
282,27600
281,27600
280,27400
279,27200
278,27200
277,27000
276,26800
275,26800
274,26600
273,26400
272,26400
271,26200
270,26000
269,26000
268,25800
267,25600
266,25600
265,25400
264,25200
263,25200
262,25000
261,24800
260,24800
259,24600
258,24400
257,24400
256,24200
255,24000
254,24000
253,23800
252,23600
251,23600
250,23400
249,23200
248,23200
247,23000
246,22800
245,22800
244,22600
243,22400
242,22400
241,22200
240,22000
239,22000
238,21800
237,21600
236,21600
235,21400
234,21200
233,21200
232,21000
231,20800
230,20800
229,20600
228,20400
227,20400
226,20200
225,20000
224,20000
223,19800
222,19600
221,19600
220,19400
219,19200
218,19200
217,19000
216,18800
215,18800
214,18600
213,18400
212,18400
211,18200
210,18000
209,18000
208,17800
207,17600
206,17600
205,17400
204,17200
203,17200
202,17000
201,16800
200,16800
199,16600
198,16400
197,16400
196,16200
195,16000
194,16000
193,15800
192,15600
191,15600
190,15400
189,15200
188,15200
187,15000
186,14800
185,14800
184,14600
183,14400
182,14400
181,14200
180,14000
179,14000
178,13800
177,13600
176,13600
175,13400
174,13200
173,13200
172,13000
171,12800
170,12800
169,12600
168,12400
167,12400
166,12200
165,12000
164,12000
163,11800
162,11600
161,11600
160,11400
159,11200
158,11200
157,11000
156,10800
155,10800
154,10600
153,10400
152,10400
151,10200
150,10000
149,10000
148,10000
147,10000
146,10000
145,10000
144,10000
143,10000
142,10000
141,10000
140,10000
139,10000
138,10000
137,10000
136,10000
135,10000
134,10000
133,10000
132,10000
131,10000
130,10000
129,10000
128,10000
127,10000
126,10000
125,10000
124,10000
123,10000
122,10000
121,10000
120,10000
119,10000
118,10000
117,10000
116,10000
115,10000
114,10000
113,10000
112,10000
111,10000
110,10000
109,10000
108,10000
107,10000
106,10000
105,10000
104,10000
103,10000
102,10000
101,10000
100,10000
99,10000
98,10000
97,10000
96,10000
95,10000
94,10000
93,10000
92,10000
91,10000
90,10000
89,10000
88,10000
87,10000
86,10000
85,10000
84,10000
83,10000
82,10000
81,10000
80,10000
79,10000
78,10000
77,10000
76,10000
75,10000
74,10000
73,10000
72,10000
71,10000
70,10000
69,10000
68,10000
67,10000
66,10000
65,10000
64,10000
63,10000
62,10000
61,10000
60,10000
59,10000
58,10000
57,10000
56,10000
55,10000
54,10000
53,10000
52,10000
51,10000
50,10000
49,10000
48,10000
47,10000
46,10000
45,10000
44,10000
43,10000
42,10000
41,10000
40,10000
39,10000
38,10000
37,10000
36,10000
35,10000
34,10000
33,10000
32,10000
31,10000
30,10000
29,10000
28,10000
27,10000
26,10000
25,10000
24,10000
23,10000
22,10000
21,10000
20,10000
19,10000
18,10000
17,10000
16,10000
15,10000
14,10000
13,10000
12,10000
11,10000
10,10000
9,10000
8,10000
7,10000
6,10000
5,10000
4,10000
3,10000
2,10000
1,10000
0,10000
0,10000
0,10000
0,10000
0,10000
0,10000
0,10000
0,10000
0,10000
0,10000
0,10000
0,10000
0,10000
0,10000
0,10000
0,10000
0,10000
0,10000
0,10000
0,10000
