index,first_burst_micros,second_burst_micros
0,0,0
1,30000,30000
2,59750,59750
3,89500,89500
4,119000,119000
5,148500,148500
6,177750,177750
7,206750,206750
8,235750,235750
9,264750,264750
10,293500,293500
11,322000,322000
12,350500,350500
13,378750,378750
14,407000,407000
15,435000,435000
16,463000,463000
17,490750,490750
18,518500,518500
19,546000,546000
20,573500,573500
21,600750,600750
22,627750,627750
23,654750,654750
24,681750,681750
25,708500,708500
26,735000,735000
27,761500,761500
28,787750,787750
29,814000,814000
30,840000,840000
31,866000,866000
32,891750,891750
33,917500,917500
34,943000,943000
35,968500,968500
36,993750,993750
37,1018750,1018750
38,1043750,1043750
39,1068750,1068750
40,1093500,1093500
41,1118000,1118000
42,1142500,1142500
43,1166750,1166750
44,1191000,1191000
45,1215000,1215000
46,1239000,1239000
47,1262750,1262750
48,1286500,1286500
49,1310000,1310000
50,1333500,1333500
51,1356750,1356750
52,1379750,1379750
53,1402750,1402750
54,1425750,1425750
55,1448500,1448500
56,1471000,1471000
57,1493500,1493500
58,1515750,1515750
59,1538000,1538000
60,1560000,1560000
61,1582000,1582000
62,1603750,1603750
63,1625500,1625500
64,1647000,1647000
65,1668500,1668500
66,1689750,1689750
67,1710750,1710750
68,1731750,1731750
69,1752750,1752750
70,1773500,1773500
71,1794000,1794000
72,1814500,1814500
73,1834750,1834750
74,1855000,1855000
75,1875000,1875000
76,1895000,1895000
77,1914750,1914750
78,1934500,1934500
79,1954000,1954000
80,1973500,1973500
81,1992750,1992750
82,2011750,2011750
83,2030750,2030750
84,2049750,2049750
85,2068500,2068500
86,2087000,2087000
87,2105500,2105500
88,2123750,2123750
89,2142000,2142000
90,2160000,2160000
91,2178000,2178000
92,2195750,2195750
93,2213500,2213500
94,2231000,2231000
95,2248500,2248500
96,2265750,2265750
97,2282750,2282750
98,2299750,2299750
99,2316750,2316750
100,2333500,2333500
101,2350000,2350000
102,2366500,2366500
103,2382750,2382750
104,2399000,2399000
105,2415000,2415000
106,2431000,2431000
107,2446750,2446750
108,2462500,2462500
109,2478000,2478000
110,2493500,2493500
111,2508750,2508750
112,2523750,2523750
113,2538750,2538750
114,2553750,2553750
115,2568500,2568500
116,2583000,2583000
117,2597500,2597500
118,2611750,2611750
119,2626000,2626000
120,2640000,2640000
121,2654000,2654000
122,2667750,2667750
123,2681500,2681500
124,2695000,2695000
125,2708500,2708500
126,2721750,2721750
127,2734750,2734750
128,2747750,2747750
129,2760750,2760750
130,2773500,2773500
131,2786000,2786000
132,2798500,2798500
133,2810750,2810750
134,2823000,2823000
135,2835000,2835000
136,2847000,2847000
137,2858750,2858750
138,2870500,2870500
139,2882000,2882000
140,2893500,2893500
141,2904750,2904750
142,2915750,2915750
143,2926750,2926750
144,2937750,2937750
145,2948500,2948500
146,2959000,2959000
147,2969500,2969500
148,2979750,2979750
149,2990000,2990000
