index,grant_micros
0,0
1,30000
2,59750
3,89500
4,119000
5,148500
6,177750
7,206750
8,235750
9,264750
10,293500
11,322000
12,350500
13,378750
14,407000
15,435000
16,463000
17,490750
18,518500
19,546000
20,573500
21,600750
22,627750
23,654750
24,681750
25,708500
26,735000
27,761500
28,787750
29,814000
30,840000
31,866000
32,891750
33,917500
34,943000
35,968500
36,993750
37,1018750
38,1043750
39,1068750
40,1093500
41,1118000
42,1142500
43,1166750
44,1191000
45,1215000
46,1239000
47,1262750
48,1286500
49,1310000
50,1333500
51,1356750
52,1379750
53,1402750
54,1425750
55,1448500
56,1471000
57,1493500
58,1515750
59,1538000
60,1560000
61,1582000
62,1603750
63,1625500
64,1647000
65,1668500
66,1689750
67,1710750
68,1731750
69,1752750
70,1773500
71,1794000
72,1814500
73,1834750
74,1855000
75,1875000
76,1895000
77,1914750
78,1934500
79,1954000
80,1973500
81,1992750
82,2011750
83,2030750
84,2049750
85,2068500
86,2087000
87,2105500
88,2123750
89,2142000
90,2160000
91,2178000
92,2195750
93,2213500
94,2231000
95,2248500
96,2265750
97,2282750
98,2299750
99,2316750
100,2333500
101,2350000
102,2366500
103,2382750
104,2399000
105,2415000
106,2431000
107,2446750
108,2462500
109,2478000
110,2493500
111,2508750
112,2523750
113,2538750
114,2553750
115,2568500
116,2583000
117,2597500
118,2611750
119,2626000
120,2640000
121,2654000
122,2667750
123,2681500
124,2695000
125,2708500
126,2721750
127,2734750
128,2747750
129,2760750
130,2773500
131,2786000
132,2798500
133,2810750
134,2823000
135,2835000
136,2847000
137,2858750
138,2870500
139,2882000
140,2893500
141,2904750
142,2915750
143,2926750
144,2937750
145,2948500
146,2959000
147,2969500
148,2979750
149,2990000
150,3000000
151,3010000
152,3020000
153,3030000
154,3040000
155,3050000
156,3060000
157,3070000
158,3080000
159,3090000
160,3100000
161,3110000
162,3120000
163,3130000
164,3140000
165,3150000
166,3160000
167,3170000
168,3180000
169,3190000
170,3200000
171,3210000
172,3220000
173,3230000
174,3240000
175,3250000
176,3260000
177,3270000
178,3280000
179,3290000
180,3300000
181,3310000
182,3320000
183,3330000
184,3340000
185,3350000
186,3360000
187,3370000
188,3380000
189,3390000
190,3400000
191,3410000
192,3420000
193,3430000
194,3440000
195,3450000
196,3460000
197,3470000
198,3480000
199,3490000
200,3500000
201,3510000
202,3520000
203,3530000
204,3540000
205,3550000
206,3560000
207,3570000
208,3580000
209,3590000
210,3600000
211,3610000
212,3620000
213,3630000
214,3640000
215,3650000
216,3660000
217,3670000
218,3680000
219,3690000
220,3700000
221,3710000
222,3720000
223,3730000
224,3740000
225,3750000
226,3760000
227,3770000
228,3780000
229,3790000
230,3800000
231,3810000
232,3820000
233,3830000
234,3840000
235,3850000
236,3860000
237,3870000
238,3880000
239,3890000
240,3900000
241,3910000
242,3920000
243,3930000
244,3940000
245,3950000
246,3960000
247,3970000
248,3980000
249,3990000
250,4000000
251,4010000
252,4020000
253,4030000
254,4040000
255,4050000
256,4060000
257,4070000
258,4080000
259,4090000
260,4100000
261,4110000
262,4120000
263,4130000
264,4140000
265,4150000
266,4160000
267,4170000
268,4180000
269,4190000
270,4200000
271,4210000
272,4220000
273,4230000
274,4240000
275,4250000
276,4260000
277,4270000
278,4280000
279,4290000
280,4300000
281,4310000
282,4320000
283,4330000
284,4340000
285,4350000
286,4360000
287,4370000
288,4380000
289,4390000
290,4400000
291,4410000
292,4420000
293,4430000
294,4440000
295,4450000
296,4460000
297,4470000
298,4480000
299,4490000
300,4500000
301,4510000
302,4520000
303,4530000
304,4540000
305,4550000
306,4560000
307,4570000
308,4580000
309,4590000
310,4600000
311,4610000
312,4620000
313,4630000
314,4640000
315,4650000
316,4660000
317,4670000
318,4680000
319,4690000
320,4700000
321,4710000
322,4720000
323,4730000
324,4740000
325,4750000
326,4760000
327,4770000
328,4780000
329,4790000
330,4800000
331,4810000
332,4820000
333,4830000
334,4840000
335,4850000
336,4860000
337,4870000
338,4880000
339,4890000
340,4900000
341,4910000
342,4920000
343,4930000
344,4940000
345,4950000
346,4960000
347,4970000
348,4980000
349,4990000
350,5000000
351,5010000
352,5020000
353,5030000
354,5040000
355,5050000
356,5060000
357,5070000
358,5080000
359,5090000
360,5100000
361,5110000
362,5120000
363,5130000
364,5140000
365,5150000
366,5160000
367,5170000
368,5180000
369,5190000
370,5200000
371,5210000
372,5220000
373,5230000
374,5240000
375,5250000
376,5260000
377,5270000
378,5280000
379,5290000
380,5300000
381,5310000
382,5320000
383,5330000
384,5340000
385,5350000
386,5360000
387,5370000
388,5380000
389,5390000
390,5400000
391,5410000
392,5420000
393,5430000
394,5440000
395,5450000
396,5460000
397,5470000
398,5480000
399,5490000
400,5500000
401,5510000
402,5520000
403,5530000
404,5540000
405,5550000
406,5560000
407,5570000
408,5580000
409,5590000
410,5600000
411,5610000
412,5620000
413,5630000
414,5640000
415,5650000
416,5660000
417,5670000
418,5680000
419,5690000
420,5700000
421,5710000
422,5720000
423,5730000
424,5740000
425,5750000
426,5760000
427,5770000
428,5780000
429,5790000
430,5800000
431,5810000
432,5820000
433,5830000
434,5840000
435,5850000
436,5860000
437,5870000
438,5880000
439,5890000
440,5900000
441,5910000
442,5920000
443,5930000
444,5940000
445,5950000
446,5960000
447,5970000
448,5980000
449,5990000
450,6000000
451,6010000
452,6020000
453,6030000
454,6040000
455,6050000
456,6060000
457,6070000
458,6080000
459,6090000
460,6100000
461,6110000
462,6120000
463,6130000
464,6140000
465,6150000
466,6160000
467,6170000
468,6180000
469,6190000
470,6200000
471,6210000
472,6220000
473,6230000
474,6240000
475,6250000
476,6260000
477,6270000
478,6280000
479,6290000
480,6300000
481,6310000
482,6320000
483,6330000
484,6340000
485,6350000
486,6360000
487,6370000
488,6380000
489,6390000
490,6400000
491,6410000
492,6420000
493,6430000
494,6440000
495,6450000
496,6460000
497,6470000
498,6480000
499,6490000
500,6500000
501,6510000
502,6520000
503,6530000
504,6540000
505,6550000
506,6560000
507,6570000
508,6580000
509,6590000
510,6600000
511,6610000
512,6620000
513,6630000
514,6640000
515,6650000
516,6660000
517,6670000
518,6680000
519,6690000
520,6700000
521,6710000
522,6720000
523,6730000
524,6740000
525,6750000
526,6760000
527,6770000
528,6780000
529,6790000
530,6800000
531,6810000
532,6820000
533,6830000
534,6840000
535,6850000
536,6860000
537,6870000
538,6880000
539,6890000
540,6900000
541,6910000
542,6920000
543,6930000
544,6940000
545,6950000
546,6960000
547,6970000
548,6980000
549,6990000
550,7000000
551,7010000
552,7020000
553,7030000
554,7040000
555,7050000
556,7060000
557,7070000
558,7080000
559,7090000
560,7100000
561,7110000
562,7120000
563,7130000
564,7140000
565,7150000
566,7160000
567,7170000
568,7180000
569,7190000
570,7200000
571,7210000
572,7220000
573,7230000
574,7240000
575,7250000
576,7260000
577,7270000
578,7280000
579,7290000
580,7300000
581,7310000
582,7320000
