t_micros,composed_pps,warmup_alone_pps
0,36,36
250000,36,36
500000,36,36
750000,40,40
1000000,40,40
1250000,44,44
1500000,44,44
1750000,52,52
2000000,56,56
2250000,60,60
2500000,72,72
2750000,84,84
3000000,100,100
3250000,100,100
3500000,100,100
3750000,100,100
4000000,100,100
4250000,100,100
4500000,100,100
4750000,100,100
5000000,100,100
5250000,100,100
5500000,100,100
5750000,100,100
6000000,100,100
6250000,100,100
6500000,0,100
6750000,0,100
7000000,0,100
7250000,0,100
7500000,0,100
7750000,0,100
8000000,0,100
8250000,0,100
8500000,0,100
8750000,0,100
9000000,0,100
9250000,0,100
9500000,0,100
9750000,0,100
10000000,0,100
10250000,0,100
10500000,0,100
10750000,0,100
11000000,0,100
11250000,0,100
11500000,0,100
11750000,0,100
12000000,0,100
12250000,0,100
12500000,0,100
12750000,0,100
13000000,0,100
13250000,0,100
